iter	Passed	Remaining
0	77	39997
1	145	37601
2	214	36806
3	281	36192
4	352	36191
5	420	35899
6	486	35535
7	554	35347
8	621	35168
9	683	34717
10	748	34487
11	818	34531
12	884	34356
13	949	34165
14	1015	34054
15	1081	33927
16	1145	33753
17	1221	33939
18	1286	33778
19	1348	33574
20	1423	33701
21	1499	33810
22	1557	33522
23	1620	33354
24	1691	33362
25	1753	33177
26	1808	32895
27	1870	32738
28	1936	32660
29	2005	32627
30	2067	32472
31	2129	32341
32	2184	32104
33	2253	32080
34	2323	32070
35	2385	31935
36	2446	31801
37	2511	31719
38	2572	31590
39	2634	31485
40	2704	31463
41	2766	31355
42	2831	31281
43	2889	31126
44	2950	31013
45	3024	31032
46	3086	30925
47	3147	30816
48	3214	30771
49	3272	30634
50	3337	30557
51	3404	30510
52	3471	30456
53	3548	30489
54	3605	30349
55	3661	30204
56	3731	30176
57	3799	30131
58	3869	30105
59	3944	30107
60	4009	30035
61	4073	29956
62	4142	29916
63	4213	29891
64	4274	29788
65	4331	29665
66	4389	29550
67	4457	29496
68	4513	29371
69	4577	29298
70	4642	29228
71	4710	29179
72	4768	29066
73	4808	28849
74	4877	28807
75	4938	28719
76	4999	28633
77	5058	28534
78	5129	28501
79	5198	28462
80	5271	28442
81	5341	28401
82	5411	28362
83	5488	28358
84	5562	28338
85	5630	28282
86	5698	28231
87	5773	28211
88	5837	28140
89	5910	28105
90	5977	28049
91	6054	28037
92	6111	27929
93	6173	27846
94	6240	27786
95	6308	27732
96	6386	27717
97	6451	27647
98	6521	27599
99	6580	27505
100	6637	27403
101	6706	27351
102	6769	27275
103	6840	27231
104	6910	27179
105	6979	27126
106	7054	27095
107	7127	27059
108	7203	27029
109	7269	26962
110	7341	26917
111	7405	26845
112	7464	26753
113	7535	26705
114	7600	26636
115	7653	26524
116	7733	26506
117	7803	26451
118	7851	26324
119	7920	26271
120	7990	26215
121	8037	26089
122	8103	26024
123	8170	25961
124	8237	25898
125	8307	25846
126	8372	25777
127	8433	25694
128	8507	25654
129	8571	25582
130	8643	25535
131	8685	25399
132	8754	25341
133	8826	25292
134	8898	25244
135	8973	25205
136	9049	25167
137	9088	25027
138	9156	24965
139	9197	24832
140	9266	24776
141	9306	24642
142	9379	24596
143	9446	24534
144	9491	24416
145	9557	24351
146	9617	24273
147	9688	24221
148	9760	24172
149	9816	24082
150	9878	24009
151	9955	23971
152	10028	23924
153	10093	23857
154	10172	23824
155	10240	23763
156	10312	23712
157	10377	23644
158	10452	23599
159	10516	23529
160	10561	23419
161	10630	23360
162	10695	23294
163	10755	23216
164	10820	23150
165	10885	23082
166	10942	22998
167	11014	22945
168	11060	22840
169	11120	22765
170	11185	22697
171	11242	22616
172	11308	22550
173	11367	22474
174	11425	22393
175	11465	22279
176	11541	22235
177	11620	22195
178	11692	22143
179	11764	22090
180	11838	22041
181	11909	21986
182	11979	21929
183	12056	21885
184	12123	21821
185	12189	21757
186	12257	21696
187	12321	21628
188	12393	21574
189	12443	21482
190	12512	21422
191	12589	21376
192	12667	21330
193	12736	21270
194	12809	21217
195	12878	21157
196	12947	21097
197	12993	20999
198	13054	20926
199	13128	20874
200	13210	20833
201	13288	20787
202	13341	20701
203	13393	20616
204	13468	20564
205	13514	20468
206	13574	20395
207	13647	20340
208	13725	20293
209	13793	20229
210	13867	20176
211	13941	20123
212	13999	20046
213	14062	19976
214	14134	19920
215	14217	19878
216	14280	19808
217	14346	19742
218	14408	19672
219	14467	19597
220	14543	19545
221	14619	19493
222	14698	19444
223	14779	19397
224	14853	19342
225	14929	19289
226	14997	19226
227	15066	19162
228	15138	19105
229	15204	19038
230	15264	18965
231	15331	18899
232	15399	18836
233	15453	18755
234	15522	18693
235	15597	18638
236	15676	18586
237	15745	18524
238	15807	18453
239	15881	18395
